,name,price,description
0,,,
1,,,
2,"<div class=""_4rR01T"">realme C11 (Rich Grey, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,499</div>",
3,"<div class=""_4rR01T"">realme C11 (Rich Green, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,499</div>",
4,"<div class=""_4rR01T"">POCO C3 (Arctic Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>",
5,"<div class=""_4rR01T"">Redmi 9 Prime (Space Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>",
6,"<div class=""_4rR01T"">realme 8 Pro (Infinite Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>",
7,"<div class=""_4rR01T"">realme 8 Pro (Infinite Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>",
8,"<div class=""_4rR01T"">REDMI 9i (Midnight Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,999</div>",
9,"<div class=""_4rR01T"">POCO C3 (Matte Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,499</div>",
10,"<div class=""_4rR01T"">POCO M3 (Cool Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹10,999</div>",
11,"<div class=""_4rR01T"">POCO X3 (Cobalt Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹17,999</div>",
12,"<div class=""_4rR01T"">realme 8 Pro (Infinite Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>",
13,"<div class=""_4rR01T"">realme 8 Pro (Infinite Blue, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹19,999</div>",
14,"<div class=""_4rR01T"">realme C15 (Power Silver, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,999</div>",
15,"<div class=""_4rR01T"">SAMSUNG Galaxy A12 (White, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹12,999</div>",
16,"<div class=""_4rR01T"">POCO M3 (Power Black, 128 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹11,999</div>",
17,"<div class=""_4rR01T"">realme C15 (Power Blue, 32 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹8,999</div>",
18,"<div class=""_4rR01T"">POCO M3 (Power Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹10,999</div>",
19,"<div class=""_4rR01T"">Redmi 9 Prime (Matte Black, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹9,499</div>",
20,"<div class=""_4rR01T"">REDMI 9i (Sea Blue, 64 GB)</div>","<div class=""_30jeq3 _1_WHN1"">₹7,999</div>",
